price,competitor_price,demand,season,promotion,stock,rating,competitor_stock
106.18,101.13,406.0,Regular,1,104,3.52,1
192.61,185.92,468.0,Holiday,0,84,4.7,1
159.8,146.85,365.0,Weekend,1,71,3.21,1
139.8,144.09,401.0,Regular,0,22,3.23,1
73.4,72.47,457.0,Weekend,0,96,4.7,1
73.4,88.03,445.0,Regular,1,154,3.49,1
58.71,40.0,437.0,Regular,1,89,4.42,1
179.93,185.68,465.0,Holiday,0,89,3.02,1
140.17,150.69,354.0,Regular,1,181,3.19,1
156.21,166.59,378.0,Weekend,0,115,4.22,0
53.09,68.53,571.0,Weekend,0,35,3.36,1
195.49,204.65,409.0,Holiday,1,155,3.06,0
174.87,191.98,475.0,Holiday,1,168,3.93,1
81.85,75.16,388.0,Weekend,1,140,3.66,1
77.27,77.4,431.0,Weekend,0,30,4.6,1
77.51,58.07,412.0,Regular,1,69,4.64,1
95.64,75.91,345.0,Regular,0,106,4.23,0
128.71,118.32,398.0,Regular,0,25,3.59,1
114.79,98.82,386.0,Regular,1,129,3.92,1
93.68,84.09,390.0,Weekend,0,162,4.4,1
141.78,128.86,356.0,Weekend,1,158,3.14,1
70.92,52.06,382.0,Weekend,0,174,3.66,1
93.82,110.19,479.0,Weekend,0,192,4.64,1
104.95,85.28,352.0,Regular,1,185,3.81,0
118.41,127.85,392.0,Regular,1,23,4.25,0
167.78,153.86,358.0,Weekend,0,192,3.19,0
79.95,96.44,498.0,Holiday,0,157,4.55,1
127.14,142.85,514.0,Holiday,1,140,3.2,0
138.86,145.02,357.0,Weekend,0,176,4.72,1
56.97,63.86,638.0,Holiday,0,159,3.21,1
141.13,121.35,301.0,Regular,1,187,4.78,0
75.58,94.97,537.0,Holiday,0,103,3.73,1
59.76,74.87,493.0,Regular,1,184,4.25,1
192.33,208.14,338.0,Weekend,1,39,4.69,1
194.84,201.21,367.0,Holiday,1,31,3.02,0
171.26,165.05,330.0,Regular,0,57,3.53,1
95.69,111.44,391.0,Regular,1,177,4.82,1
64.65,56.31,413.0,Weekend,0,66,3.78,1
152.63,155.14,293.0,Regular,0,101,4.41,1
116.02,100.01,408.0,Holiday,0,93,3.28,0
68.31,85.18,520.0,Weekend,0,61,4.36,1
124.28,109.91,340.0,Regular,0,24,3.15,1
55.16,44.15,369.0,Regular,0,195,4.43,1
186.4,188.72,283.0,Weekend,0,134,3.65,0
88.82,99.38,423.0,Holiday,0,146,3.93,1
149.38,154.15,327.0,Regular,1,118,3.33,0
96.76,86.04,349.0,Weekend,0,122,4.26,1
128.01,108.05,341.0,Holiday,1,198,3.68,1
132.01,142.29,328.0,Regular,0,159,3.77,1
77.73,97.14,485.0,Regular,1,157,4.3,1
195.44,207.83,518.0,Holiday,0,56,3.36,1
166.27,164.68,372.0,Regular,1,144,4.7,1
190.92,207.08,309.0,Regular,0,85,4.48,1
184.22,180.62,310.0,Weekend,1,86,4.16,0
139.68,140.68,314.0,Regular,0,33,3.26,1
188.28,187.37,289.0,Regular,1,66,4.37,1
63.27,61.18,493.0,Weekend,1,167,3.04,1
79.4,90.41,530.0,Holiday,0,128,4.61,1
56.78,57.85,468.0,Regular,0,132,3.61,1
98.8,91.47,388.0,Regular,1,199,3.23,1
108.3,98.63,376.0,Weekend,0,87,3.33,1
90.7,72.21,324.0,Regular,0,134,4.93,1
174.31,177.64,340.0,Regular,1,45,4.55,1
103.51,92.71,378.0,Regular,0,66,3.48,1
92.14,78.07,400.0,Regular,1,92,4.93,0
131.4,137.56,404.0,Weekend,0,22,3.28,1
71.14,78.39,511.0,Weekend,0,149,4.47,1
170.33,180.42,332.0,Regular,0,188,4.31,1
61.18,61.33,501.0,Weekend,1,49,4.64,1
198.03,213.8,316.0,Regular,1,184,3.76,1
165.84,183.29,355.0,Weekend,0,22,3.8,1
79.81,92.1,542.0,Holiday,0,28,4.25,1
50.83,56.25,490.0,Weekend,0,27,3.8,0
172.32,164.47,342.0,Regular,1,28,3.08,0
156.03,175.35,375.0,Regular,0,139,4.46,0
159.35,150.32,329.0,Weekend,0,164,4.28,1
165.69,153.8,371.0,Holiday,0,171,3.85,0
61.11,58.79,441.0,Weekend,0,161,3.61,1
103.77,86.04,369.0,Regular,0,99,3.64,1
67.38,86.52,528.0,Weekend,0,37,4.48,0
179.47,183.0,313.0,Regular,1,186,4.46,0
143.49,145.77,339.0,Regular,1,135,4.64,1
99.63,105.87,470.0,Weekend,1,194,4.52,1
59.53,59.41,480.0,Regular,0,46,4.52,1
96.65,77.93,362.0,Holiday,0,111,3.5,1
98.78,103.27,447.0,Regular,0,90,3.2,1
159.44,168.09,419.0,Weekend,1,53,4.52,0
145.63,142.3,457.0,Holiday,0,122,3.2,1
183.08,193.37,371.0,Regular,1,166,4.96,1
120.83,109.91,357.0,Weekend,0,153,4.75,1
67.94,56.79,367.0,Regular,1,177,4.07,1
156.99,143.44,288.0,Regular,1,111,3.7,1
164.12,159.0,294.0,Regular,0,159,4.05,0
134.19,148.07,463.0,Weekend,1,162,4.47,0
165.65,178.76,322.0,Regular,1,128,4.51,0
124.07,119.38,410.0,Regular,1,186,3.15,0
128.41,131.97,413.0,Weekend,1,122,4.61,1
114.13,122.96,355.0,Regular,0,83,4.28,0
53.81,43.46,402.0,Regular,1,83,3.08,1
66.18,52.91,543.0,Holiday,1,34,3.63,1
54.71,73.6,482.0,Regular,0,119,4.02,1
145.46,150.16,422.0,Holiday,0,86,3.38,0
97.15,116.41,530.0,Weekend,0,20,3.31,1
126.29,119.8,371.0,Weekend,0,26,3.03,1
186.13,194.26,336.0,Regular,1,156,4.82,0
87.39,76.3,491.0,Holiday,0,20,3.11,1
111.56,102.01,404.0,Regular,0,24,3.73,0
163.33,163.81,283.0,Regular,0,66,3.41,1
84.32,77.1,353.0,Regular,0,119,4.48,0
61.55,48.25,396.0,Weekend,0,29,4.41,1
93.46,83.98,342.0,Regular,0,21,4.61,1
74.18,55.61,398.0,Regular,0,42,4.23,1
189.45,197.63,328.0,Weekend,1,122,4.18,1
171.22,170.9,319.0,Regular,0,166,3.81,1
145.01,128.78,332.0,Regular,0,185,4.27,0
180.72,167.59,277.0,Regular,0,66,3.23,1
170.55,154.65,364.0,Weekend,0,103,4.37,0
77.99,82.49,459.0,Weekend,0,199,3.21,1
183.88,167.65,303.0,Holiday,0,68,4.72,1
130.9,141.07,374.0,Weekend,0,170,4.01,0
171.12,151.94,244.0,Regular,0,69,4.06,0
184.41,174.39,324.0,Regular,0,36,4.17,1
97.7,113.33,437.0,Regular,1,67,4.55,0
66.51,75.25,471.0,Regular,0,140,3.96,1
84.19,67.11,404.0,Regular,1,21,3.86,1
114.07,126.91,541.0,Holiday,1,104,3.58,0
172.7,172.42,365.0,Regular,1,32,3.26,0
